,open_close_green,open_high_green,open_low_green,open_close_red,open_high_red,open_low_red
count,1247.0,1247.0,1247.0,1030.0,1030.0,1030.0
min,-4.7994,0.0295,0.0,0.0023,-0.0,0.0348
max,0.0,5.3238,5.5406,5.6623,6.5163,5.7857
mean,-0.5367,0.7573,0.3166,0.6015,0.2911,0.9155
median,-0.38,0.5756,0.1978,0.3881,0.1804,0.7002
std,0.5571,0.6369,0.4082,0.6497,0.4201,0.7209
skew,-2.7123,2.7245,4.8208,2.1493,6.3671,1.777
kurtosis,11.8826,11.5517,39.1568,6.7326,66.6086,4.2674
