symbol,pct,n_divs,hit_rate,min_cum,max_cum
ACR-PC,15.36,37,0.43,-0.04,0.34
MITT-PB,94.28,41,0.44,-0.03,0.98
MITT-PC,118.38,15,0.60,-0.01,1.12
MITT-PA,63.84,43,0.40,-0.06,0.77
AL-PA,94.76,19,0.32,-0.02,1.11
AIRTP,47.31,19,0.68,-0.04,0.41
AQNU,18.95,10,0.60,-0.06,0.24
AILIO,28.35,45,0.22,-0.09,0.55
AIG-PA,42.42,19,0.37,-0.01,0.49
AFSIN,30.12,31,0.35,-0.02,0.39
AFSIB,60.97,34,0.50,-0.01,0.64
AFSIP,21.16,34,0.41,-0.05,0.25
NLY-PG,67.61,24,0.42,-0.04,0.69
NLY-PI,62.05,18,0.39,-0.04,0.70
NLY-PF,47.84,25,0.40,-0.03,0.53
AUVIP,28.5,22,0.50,-0.08,0.42
AHT-PF,79.41,24,0.54,-0.14,0.68
AHT-PH,87.83,20,0.60,-0.09,0.75
AHT-PI,63.12,19,0.53,-0.05,0.59
AHT-PD,122.38,57,0.33,0.00,1.55
AHL-PE,10.11,18,0.44,-0.04,0.31
ASB-PE,34.52,21,0.38,0.00,0.52
ATLCP,42.11,10,0.60,-0.02,0.52
ATCO-PH,27.36,30,0.57,0.00,0.26
ATCO-PD,40.42,45,0.62,-0.06,0.38
RILYP,12.22,18,0.44,-0.24,0.14
RILYL,19.51,14,0.43,-0.11,0.20
BAC-PN,39.89,17,0.53,-0.02,0.41
BAC-PM,35.85,18,0.61,0.00,0.38
BML-PH,30.56,61,0.41,0.00,1.27
BML-PJ,91.22,62,0.42,0.00,1.36
BML-PL,36.14,61,0.39,0.00,1.08
BAC-PE,121.73,68,0.41,-0.02,1.49
BOH-PA,29.21,11,0.36,-0.03,0.39
OZKAP,20.35,9,0.78,0.00,0.22
TEUCF,23.84,10,0.60,-0.03,0.23
BHFAN,24.66,12,0.50,-0.10,0.31
BHFAP,31.25,19,0.47,-0.08,0.33
BHFAM,23.82,8,0.75,0.00,0.30
BMYMP,22.87,82,0.28,-0.04,0.78
BIP-PA,10.68,13,0.31,-0.07,0.16
BPYPN,55.89,15,0.67,0.00,0.51
BPYPO,219.64,18,0.67,-0.01,1.52
BPYPP,203.9,19,0.63,-0.04,1.42
BPYPM,56.3,10,0.80,0.00,0.47
BEP-PA,13.79,15,0.47,-0.07,0.19
CDZIP,42.1,10,0.40,0.00,0.44
CCLDP,323.82,97,0.28,-0.40,2.64
CCLDO,251,23,0.48,-0.08,2.06
YCBD-PA,35.53,4,0.75,0.00,0.34
CDR-PC,23,27,0.41,-0.11,1.59
CDR-PB,40.71,48,0.35,-0.10,1.26
CSSEP,878.97,67,0.49,-0.05,3.01
CIM-PC,146.87,21,0.62,0.00,1.13
CIM-PA,116.98,29,0.45,-0.08,0.97
CIM-PB,110.57,27,0.37,-0.09,1.03
CIM-PD,110.87,18,0.56,-0.01,1.03
CHSCP,12.81,79,0.42,-0.22,0.16
CLVT-PA,25.12,11,0.36,-0.13,0.31
COMSP,29.59,5,0.80,-0.11,0.29
CTGSP,44.27,42,0.17,-0.65,1.22
CMRE-PC,12.89,39,0.51,-0.04,0.27
CTO-PA,15.27,10,0.70,-0.01,0.21
CFR-PB,33.97,12,0.42,-0.08,0.34
CUBI-PF,89.35,29,0.24,-0.08,0.92
CUBI-PE,62.38,29,0.28,-0.06,0.71
CYCCP,415.94,59,0.56,-0.07,2.68
DVSPF,174.22,105,0.45,-0.11,1.70
DSHKO,25.55,45,0.40,-0.13,0.48
DSHKN,21.62,51,0.33,0.00,0.96
DSHKP,24.83,67,0.27,-0.16,0.49
DLNG-PB,83.66,21,0.57,0.00,0.76
DLNG-PA,62.69,33,0.61,0.00,0.55
ECCC,17.45,31,0.52,-0.01,0.27
ECC-PD,26.01,24,0.46,0.00,0.31
EFSCP,18.7,8,0.38,-0.05,0.28
EQH-PA,68.88,16,0.56,0.00,0.68
EQH-PC,29.16,12,0.50,-0.03,0.33
GMBLP,257.24,24,0.58,-0.03,1.61
FGFPP,32.95,22,0.55,0.00,0.81
FCNCO,21.65,8,0.50,0.00,0.32
FHN-PD,20.08,7,0.43,-0.04,0.29
FHN-PC,31.21,15,0.40,-0.04,0.39
FRCHL,49.64,24,0.38,-0.12,0.57
FRCIL,40.13,17,0.29,-0.26,0.57
FBIOP,34.95,53,0.45,-0.21,0.63
FTAIN,34.07,11,0.45,-0.03,0.46
FTAIP,139.45,17,0.35,-0.01,1.27
FTAIO,134.8,16,0.56,0.00,1.10
LANDO,37.06,39,0.51,-0.12,0.48
GMLPF,79.12,24,0.58,0.00,0.66
GS-PK,16.33,38,0.55,-0.03,0.19
GRBK-PA,15.74,8,0.63,-0.01,0.20
HTIBP,100.7,9,0.67,-0.01,0.81
HTIA,32.08,17,0.47,-0.30,0.37
IIPR-PA,38.22,25,0.44,-0.05,0.44
IVR-PC,271.69,25,0.52,-0.04,2.69
IVR-PB,318.76,37,0.41,-0.02,2.85
JPM-PJ,13.34,16,0.69,-0.03,0.20
KEY-PK,48.04,18,0.44,-0.04,0.52
KEY-PJ,47.01,21,0.38,-0.05,0.52
KEY-PI,60.61,28,0.50,-0.02,0.67
KEY-PL,10.48,5,0.40,-0.01,0.23
KREF-PA,41.49,11,0.55,-0.03,0.41
LAUCF,17.87,14,0.07,-0.29,0.29
JBK,75.28,47,0.47,-0.08,0.74
LEHKQ,8271.29,20,0.50,-0.04,77.07
LFT-PA,20.14,11,0.64,-0.03,0.20
MDRRP,95.77,15,0.73,0.00,0.76
MBNKP,38.23,16,0.44,0.00,0.53
MBINO,20.95,18,0.39,-0.04,0.33
MFA-PC,38.41,15,0.67,-0.09,0.38
MFA-PB,155.46,42,0.38,-0.07,1.23
MINDP,37.62,23,0.43,-0.13,0.35
NYCB-PA,94.94,27,0.59,-0.01,0.74
NXDT-PA,11.14,8,0.50,-0.06,0.14
NREF-PA,17.14,14,0.50,-0.12,0.18
NSARO,62.72,90,0.34,0.00,0.62
NS-PB,120.09,25,0.48,-0.04,1.34
NS-PA,117.07,27,0.44,-0.02,1.49
NS-PC,102.9,23,0.39,0.00,1.14
OAK-PB,32.36,21,0.38,0.00,0.40
OAK-PA,29.2,22,0.50,0.00,0.38
OTRKP,126.26,6,0.67,-0.01,0.94
PCG-PH,15.5,61,0.49,-0.13,0.20
PPWLO,16.54,53,0.15,-0.58,0.39
PPWLM,24,42,0.29,-0.46,0.38
PARAP,32.94,11,0.64,-0.09,0.32
PRTNQ,352.17,11,0.64,0.00,3.35
PRTMQ,372.47,14,0.50,-0.08,3.42
PRTLQ,449.59,31,0.35,-0.06,4.01
PMT-PC,37.75,9,0.67,0.00,0.45
PMT-PB,119.14,25,0.40,-0.05,1.08
PMT-PA,111.7,27,0.37,-0.05,1.08
SQFTP,50.26,30,0.50,-0.02,0.63
PSEC-PA,18.68,9,0.56,0.00,0.22
PSBZP,42.02,15,0.60,-0.11,0.40
PSBYP,24.17,20,0.35,-0.20,0.26
PSBXP,53.42,22,0.50,-0.12,0.48
PXSAP,43.8,40,0.43,0.00,0.74
QRTEP,173.56,13,0.54,-0.07,1.17
RF-PE,14.63,10,0.50,-0.04,0.23
RF-PC,20.27,18,0.67,-0.10,0.35
RF-PB,79.15,37,0.49,-0.05,0.70
RNR-PG,17.55,10,0.70,-0.01,0.20
RNR-PF,45.81,18,0.39,-0.01,0.49
SB-PC,26.53,38,0.50,-0.06,0.45
SB-PD,22.45,37,0.41,-0.09,0.47
BFS-PE,10.08,18,0.50,-0.08,0.13
SCE-PH,10.14,37,0.49,-0.07,0.17
SBNYL,18376.94,9,0.33,-0.07,192.13
SICPL,19.54,5,0.60,-0.01,0.19
SLHPF,1254.88,15,0.60,0.00,7.06
SLMBP,397.93,74,0.46,-0.04,2.49
SLNHP,257.33,13,0.77,-0.02,1.47
SF-PD,24.1,9,0.56,-0.01,0.35
SF-PB,43.49,17,0.35,-0.02,0.54
KTH,25.91,45,0.51,-0.11,0.27
INN-PF,52.68,10,0.90,0.00,0.44
SIVPQ,28.24,12,0.75,-0.03,0.26
SNV-PD,11.97,22,0.50,0.00,0.32
TCBIO,11.91,11,0.45,-0.07,0.21
TGH-PB,44.73,9,0.67,-0.02,0.43
TSLTF,inf,15,0.13,-inf,0.01
TNP-PE,87.7,25,0.52,-0.04,0.80
USB-PQ,12.33,13,0.69,-0.03,0.14
UGIC,16.74,9,0.78,0.00,0.28
UEPCN,13.82,47,0.23,-0.23,0.17
VOYA-PB,49.38,16,0.31,-0.01,0.85
WBS-PF,113.1,22,0.50,0.00,0.94
WFC-PD,13.77,9,0.56,-0.01,0.18
WFC-PZ,42.19,16,0.44,0.00,0.47
WFC-PY,26,27,0.41,-0.06,0.33
WFC-PR,13.75,39,0.49,-0.01,0.24
WHLRD,18.26,5,0.60,0.00,0.32
ZIONO,14.53,42,0.45,-0.02,0.23
ZIONP,15.21,64,0.42,-0.16,0.46
